loss,accuracy,val_loss,val_accuracy,lr
0.6754151582717896,0.6669555306434631,0.5214707851409912,0.7560647130012512,0.001
0.5109989643096924,0.7582322359085083,0.4523197114467621,0.7911050915718079,0.001
0.45309847593307495,0.7989601492881775,0.4112342894077301,0.8180593252182007,0.001
0.41806700825691223,0.8125361204147339,0.38425302505493164,0.822102427482605,0.001
0.37570318579673767,0.8313114047050476,0.3308609127998352,0.8517520427703857,0.001
0.3634618818759918,0.8405545949935913,0.33721649646759033,0.8517520427703857,0.001
0.3453744947910309,0.8506643772125244,0.32990261912345886,0.8611859679222107,0.001
0.3035356104373932,0.8717504143714905,0.3295326828956604,0.8571428656578064,0.001
0.285786509513855,0.8789716958999634,0.2957213819026947,0.8814015984535217,0.001
0.2642645537853241,0.8887926340103149,0.30773401260375977,0.8679245114326477,0.001
0.27273914217948914,0.8873483538627625,0.36891597509384155,0.8611859679222107,0.001
0.2523237466812134,0.9000577926635742,0.3193824589252472,0.8665767908096313,0.001
0.22249984741210938,0.9119006395339966,0.29090896248817444,0.8854447603225708,0.0005
0.20433855056762695,0.9211438298225403,0.31681564450263977,0.8706199526786804,0.0005
0.21654027700424194,0.9150779843330383,0.2975301742553711,0.8787062168121338,0.0005
0.18690474331378937,0.9248989224433899,0.3079592287540436,0.8840970396995544,0.0005
0.1879863291978836,0.9260542988777161,0.2745441794395447,0.8867924809455872,0.00025
0.17800764739513397,0.9306759238243103,0.28411614894866943,0.8773584961891174,0.00025
0.15458345413208008,0.93818598985672,0.2883656620979309,0.8908355832099915,0.00025
0.15470090508460999,0.9384748935699463,0.28129369020462036,0.8867924809455872,0.00025
0.1498238891363144,0.9407856464385986,0.2895655333995819,0.8948786854743958,0.000125
0.13926030695438385,0.9451184272766113,0.27956274151802063,0.8935310244560242,0.000125
0.1507563441991806,0.9428076148033142,0.27660664916038513,0.8867924809455872,0.000125
